Путь,Категории ПДн,Количество,УЗ,Формат,Рекомендации
Документы партнеров\agreement_reg.pdf,"standard_fio: 2, standard_email: 1, standard_address: 4",7,УЗ-4,.pdf,Контроль доступа + аудит
Документы партнеров\agreement_reg_extra.pdf,"standard_email: 1, standard_address: 7, payment_cvv: 1",9,УЗ-2,.pdf,Шифрование + RBAC
Документы партнеров\capsula_instruction.pdf,"standard_phone: 1, standard_address: 1, payment_cvv: 10",12,УЗ-2,.pdf,Шифрование + RBAC
Документы партнеров\capsula_neo_instruction.pdf,"standard_fio: 2, standard_phone: 1, standard_address: 3, payment_cvv: 3",9,УЗ-2,.pdf,Шифрование + RBAC
Документы партнеров\google_privacy_policy_en.pdf,payment_cvv: 5,5,УЗ-2,.pdf,Шифрование + RBAC
Документы партнеров\google_terms_of_service_en.pdf,payment_cvv: 2,2,УЗ-2,.pdf,Шифрование + RBAC
Документы партнеров\ok_history_new.pdf,"standard_address: 3, payment_cvv: 10",13,УЗ-2,.pdf,Шифрование + RBAC
Документы партнеров\politika_konfidencialnosti.pdf,"standard_fio: 2, standard_address: 3, state_passport: 1, state_inn: 1, payment_cvv: 2",9,УЗ-2,.pdf,Шифрование + RBAC
Документы партнеров\rules.pdf,"standard_fio: 48, standard_phone: 1, standard_email: 4, standard_dob: 1, standard_address: 11, state_passport: 1, state_inn: 1, payment_cvv: 4, special_health: 1",72,УЗ-1,.pdf,Шифрование + RBAC
Документы партнеров\Sport24_Mediakit_2024.pdf,"standard_fio: 11, standard_email: 1, standard_address: 1, payment_cvv: 9, special_health: 1",23,УЗ-1,.pdf,Шифрование + RBAC
Документы партнеров\version-090924.pdf,"standard_fio: 3, standard_phone: 2, standard_email: 2, standard_dob: 2, standard_address: 6, state_passport: 9, state_inn: 9, payment_cvv: 3, special_health: 1",37,УЗ-1,.pdf,Шифрование + RBAC
Документы партнеров\version-300824.pdf,"standard_fio: 1, standard_email: 2, standard_address: 10",13,УЗ-4,.pdf,Контроль доступа + аудит
Документы партнеров\VKCT_Soglashenie_ob_informacionnom_vzaimodeistvii.pdf,"standard_address: 2, payment_cvv: 1",3,УЗ-2,.pdf,Шифрование + RBAC
Документы партнеров\VK_Soglashenie_ob_informacionnom_vzaimodeistvii.pdf,"standard_address: 2, payment_cvv: 1",3,УЗ-2,.pdf,Шифрование + RBAC
Прочее\%20%D1%81%D0%BE%D0%B3%D0%BB%D0%B0%D1%88%D0%B5%D0%BD%D0%B8%D0%B5.pdf,"standard_email: 2, standard_dob: 1, standard_address: 4, payment_cvv: 1",8,УЗ-2,.pdf,Шифрование + RBAC
Прочее\%D0%90%D0%BD%D0%BD%D0%BE%D1%82%D0%B0%D1%86%D0%B8%D1%8F%20%D0%90%D0%9F%D0%A6%D0%9F%D0%B8%D0%A6%D0%AD.pdf,"standard_email: 2, payment_cvv: 6",8,УЗ-2,.pdf,Шифрование + RBAC
Прочее\%D0%90%D1%80%D1%82%D0%B5%D0%BC%20%D0%A8%D0%B0%D0%B4%D1%80%D0%B8%D0%BD.pdf,"standard_fio: 3, standard_address: 8, special_health: 3",14,УЗ-1,.pdf,Шифрование + RBAC
Прочее\%D0%91%D1%83%D1%85%D0%B3%D0%B0%D0%BB%D1%82%D0%B5%D1%80.pdf,"standard_address: 2, payment_cvv: 1, special_health: 1",4,УЗ-1,.pdf,Шифрование + RBAC
Прочее\%D0%94%D0%BB%D1%8F%20%D1%81%D0%B0%D0%B9%D1%82%D0%B0%20%D0%A1%D1%80%D0%B5%D0%B4%D0%BD%D0%B8%D0%B9%20%D0%B1%D0%B0%D0%BB%D0%BB%20%D0%B8%20%D0%95%D0%93%D0%AD%202021_22.pdf,"standard_fio: 2, payment_cvv: 28",30,УЗ-2,.pdf,Шифрование + RBAC
Прочее\%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F_%D0%9C%D0%A4%D0%A6.pdf,"standard_phone: 3, payment_cvv: 6",9,УЗ-2,.pdf,Шифрование + RBAC
