Путь,Категории,Кол-во,УЗ,Формат,Рекомендации
Выгрузки\Логистика\customers.csv,"standard_fio: 4642, standard_address: 485, payment_cvv: 900",6027,УЗ-2,.csv,AES-256 + RBAC + Аудит
Выгрузки\Логистика\logistics.csv,"standard_phone: 1, standard_address: 18274, payment_cvv: 38315",56590,УЗ-2,.csv,AES-256 + RBAC + Аудит
Выгрузки\Логистика\products.csv,payment_cvv: 741,741,УЗ-2,.csv,AES-256 + RBAC + Аудит
Выгрузки\Логистика\sales.csv,payment_cvv: 21989,21989,УЗ-2,.csv,AES-256 + RBAC + Аудит
Выгрузки\Логистика\stores.csv,"standard_fio: 9, standard_address: 1",10,УЗ-4,.csv,Контроль доступа + Сверка
Выгрузки\Сайты\page_1.html,"standard_fio: 1, payment_cvv: 2",3,УЗ-2,.html,AES-256 + RBAC + Аудит
Выгрузки\Сайты\page_10.html,payment_cvv: 1,1,УЗ-2,.html,AES-256 + RBAC + Аудит
Выгрузки\Сайты\page_100.html,payment_cvv: 2,2,УЗ-2,.html,AES-256 + RBAC + Аудит
Выгрузки\Сайты\page_101.html,"standard_fio: 1, payment_cvv: 2",3,УЗ-2,.html,AES-256 + RBAC + Аудит
Выгрузки\Сайты\page_102.html,"standard_fio: 1, payment_cvv: 2",3,УЗ-2,.html,AES-256 + RBAC + Аудит
Выгрузки\Сайты\page_103.html,"standard_fio: 1, payment_cvv: 2",3,УЗ-2,.html,AES-256 + RBAC + Аудит
Выгрузки\Сайты\page_104.html,"standard_fio: 1, payment_cvv: 2",3,УЗ-2,.html,AES-256 + RBAC + Аудит
Выгрузки\Сайты\page_105.html,"standard_fio: 1, payment_cvv: 2",3,УЗ-2,.html,AES-256 + RBAC + Аудит
Выгрузки\Сайты\page_106.html,"standard_fio: 1, payment_cvv: 2",3,УЗ-2,.html,AES-256 + RBAC + Аудит
Выгрузки\Сайты\page_107.html,"standard_fio: 1, payment_cvv: 2",3,УЗ-2,.html,AES-256 + RBAC + Аудит
Выгрузки\Сайты\page_108.html,"standard_fio: 1, payment_cvv: 2",3,УЗ-2,.html,AES-256 + RBAC + Аудит
Выгрузки\Сайты\page_109.html,"standard_fio: 1, payment_cvv: 2",3,УЗ-2,.html,AES-256 + RBAC + Аудит
Выгрузки\Сайты\page_11.html,payment_cvv: 3,3,УЗ-2,.html,AES-256 + RBAC + Аудит
Выгрузки\Сайты\page_110.html,"standard_fio: 1, payment_cvv: 2",3,УЗ-2,.html,AES-256 + RBAC + Аудит
Выгрузки\Сайты\page_111.html,"standard_fio: 1, payment_cvv: 2",3,УЗ-2,.html,AES-256 + RBAC + Аудит
Выгрузки\Сайты\page_112.html,"standard_fio: 1, payment_cvv: 2",3,УЗ-2,.html,AES-256 + RBAC + Аудит
Выгрузки\Сайты\page_113.html,"standard_fio: 1, payment_cvv: 2",3,УЗ-2,.html,AES-256 + RBAC + Аудит
Выгрузки\Сайты\page_114.html,"standard_fio: 1, payment_cvv: 2",3,УЗ-2,.html,AES-256 + RBAC + Аудит
Выгрузки\Сайты\page_115.html,"standard_fio: 1, payment_cvv: 2",3,УЗ-2,.html,AES-256 + RBAC + Аудит
Выгрузки\Сайты\page_116.html,"standard_fio: 1, payment_cvv: 2",3,УЗ-2,.html,AES-256 + RBAC + Аудит
Выгрузки\Сайты\page_117.html,"standard_fio: 1, payment_cvv: 2",3,УЗ-2,.html,AES-256 + RBAC + Аудит
Выгрузки\Сайты\page_118.html,"standard_fio: 1, payment_cvv: 2",3,УЗ-2,.html,AES-256 + RBAC + Аудит
Выгрузки\Сайты\page_119.html,"standard_fio: 1, payment_cvv: 2",3,УЗ-2,.html,AES-256 + RBAC + Аудит
Выгрузки\Сайты\page_12.html,payment_cvv: 2,2,УЗ-2,.html,AES-256 + RBAC + Аудит
Выгрузки\Сайты\page_120.html,"standard_fio: 1, payment_cvv: 2",3,УЗ-2,.html,AES-256 + RBAC + Аудит
Выгрузки\Сайты\page_121.html,payment_cvv: 2,2,УЗ-2,.html,AES-256 + RBAC + Аудит
Выгрузки\Сайты\page_122.html,payment_cvv: 2,2,УЗ-2,.html,AES-256 + RBAC + Аудит
Выгрузки\Сайты\page_123.html,payment_cvv: 2,2,УЗ-2,.html,AES-256 + RBAC + Аудит
